"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.65468322869439,0,-2.34414211464567
5,8,0,3.65468322869439,0,-2.34414211464567
10,8,0,3.65468322869439,0,-2.34414211464567
15,8,0,3.65468322869439,0,-2.34414211464567
20,8,0,3.65468322869439,0,-2.34414211464567
25,8,0,3.6546832286944,0,-2.34414211464566
30,8,0,3.65468322869439,0,-2.34414211464567
35,8,0,3.65468322869439,0,-2.34414211464567
40,8,0,3.65468322869439,0,-2.34414211464567
45,8,0,3.65468322869439,0,-2.34414211464567
50,8,0,3.65468322869439,0,-2.34414211464567
55,8,0,3.65468322869439,0,-2.34414211464567
60,8,0,3.65468322869439,0,-2.34414211464567
65,8,0,3.65468322869439,0,-2.34414211464567
70,8,0,3.65468322869439,0,-2.34414211464567
75,8,0,3.65468322869439,0,-2.34414211464567
80,8,0,3.65468322869439,0,-2.34414211464567
85,8,0,3.65468322869439,0,-2.34414211464567
90,8,0,3.65468322869439,0,-2.34414211464567
0,8,5,3.05147676993651,5,-2.94734857340355
5,8,5,3.05468768494233,5,-2.94413765839774
10,8,5,3.06116920220271,5,-2.93765614113735
15,8,5,3.07115794769638,5,-2.92766739564368
20,8,5,3.08485774698567,5,-2.91396759635439
25,8,5,3.10243014136432,5,-2.89639520197574
30,8,5,3.12398591806177,5,-2.87483942527829
35,8,5,3.14957790747522,5,-2.84924743586484
40,8,5,3.17919525442313,5,-2.81963008891693
45,8,5,3.21275931717342,5,-2.78606602616664
50,8,5,3.25012129054629,5,-2.74870405279377
55,8,5,3.29106159104886,5,-2.7077637522912
60,8,5,3.33529098593108,5,-2.66353435740898
65,8,5,3.38245339693817,5,-2.61637194640189
70,8,5,3.43213026537758,5,-2.56669507796248
75,8,5,3.48384632919458,5,-2.51497901414548
80,8,5,3.53707663566993,5,-2.46174870767013
85,8,5,3.59125459517669,5,-2.40757074816337
90,8,5,3.64578087179006,5,-2.35304447155
0,8,10,2.33748287434116,10,-3.6613424689989
5,8,10,2.31286712334781,10,-3.68595821999225
10,8,10,2.29389712002494,10,-3.70492822331512
15,8,10,2.28183806696513,10,-3.71698727637493
20,8,10,2.27786513889328,10,-3.72096020444678
