candidate_index,candidate,case,active_pol,freq_ghz,theta_deg,phi_deg,coverage_gain_total_dbi,coverage_gain_total_source,coverage_realized_gain_total_dbi,coverage_realized_gain_total_source
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,40.000000,2.114213,P2L,2.017903,P2L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,45.000000,1.862688,P2L,1.766378,P2L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,50.000000,2.026647,P1L,1.836543,P1L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,55.000000,2.211593,P1L,2.021489,P1L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,60.000000,2.265619,P1L,2.075515,P1L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,65.000000,2.253314,P3L,2.154065,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,70.000000,2.797891,P3L,2.698642,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,75.000000,2.945338,P3L,2.846090,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,80.000000,2.736650,P3L,2.637401,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,85.000000,2.276741,P3L,2.177493,P3L
37,fold0p6_neck1p6_stub2p6,A_ON_absorptive_50ohm_c0p08pf,A,8.000000,90.000000,90.000000,1.742631,P3L,1.643383,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,0.000000,1.518249,P2L,1.433334,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,5.000000,1.675245,P4L,1.619495,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,10.000000,1.803989,P4L,1.748239,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,15.000000,1.876839,P4L,1.821090,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,20.000000,1.903423,P4L,1.847673,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,25.000000,1.899092,P4L,1.843343,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,30.000000,1.879728,P4L,1.823979,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,35.000000,1.854759,P4L,1.799009,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,40.000000,1.820631,P4L,1.764882,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,45.000000,1.930593,P3L,1.831345,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,50.000000,2.031530,P3L,1.932281,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,55.000000,2.104993,P3L,2.005744,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,60.000000,2.167453,P3L,2.068205,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,65.000000,2.220680,P3L,2.121431,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,70.000000,2.256124,P3L,2.156876,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,75.000000,2.260284,P3L,2.161035,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,80.000000,2.219731,P3L,2.120482,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,85.000000,2.124554,P3L,2.025305,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,45.000000,90.000000,1.969477,P3L,1.870229,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,0.000000,1.852858,P4L,1.797108,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,5.000000,2.054989,P4L,1.999240,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,10.000000,2.191294,P4L,2.135544,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,15.000000,2.255460,P4L,2.199711,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,20.000000,2.255002,P4L,2.199253,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,25.000000,2.210291,P4L,2.154541,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,30.000000,2.148529,P4L,2.092780,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,35.000000,2.093225,P4L,2.037476,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,40.000000,2.052284,P4L,1.996535,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,45.000000,2.133393,P3L,2.034145,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,50.000000,2.222432,P3L,2.123183,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,55.000000,2.313936,P3L,2.214688,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,60.000000,2.415243,P3L,2.315994,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,65.000000,2.514016,P3L,2.414768,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,70.000000,2.587976,P3L,2.488727,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,75.000000,2.614528,P3L,2.515280,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,80.000000,2.577970,P3L,2.478722,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,85.000000,2.472957,P3L,2.373709,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,50.000000,90.000000,2.303800,P3L,2.204552,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,0.000000,2.119989,P4L,2.064239,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,5.000000,2.343699,P4L,2.287950,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,10.000000,2.494154,P4L,2.438405,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,15.000000,2.552435,P4L,2.496685,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,20.000000,2.520083,P4L,2.464333,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,25.000000,2.420830,P4L,2.365080,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,30.000000,2.295165,P4L,2.239416,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,35.000000,2.186658,P4L,2.130909,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,40.000000,2.122498,P4L,2.066748,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,45.000000,2.187984,P3L,2.088736,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,50.000000,2.274327,P3L,2.175078,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,55.000000,2.403261,P3L,2.304012,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,60.000000,2.565229,P3L,2.465980,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,65.000000,2.726008,P3L,2.626759,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,70.000000,2.845073,P3L,2.745824,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,75.000000,2.890139,P3L,2.790890,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,80.000000,2.845588,P3L,2.746339,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,85.000000,2.714950,P3L,2.615702,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,55.000000,90.000000,2.517566,P3L,2.418317,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,0.000000,2.300002,P4L,2.244253,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,5.000000,2.550620,P4L,2.494870,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,10.000000,2.722415,P4L,2.666666,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,15.000000,2.779381,P4L,2.723632,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,20.000000,2.712912,P4L,2.657163,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,25.000000,2.547086,P4L,2.491336,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,30.000000,2.335848,P4L,2.280099,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,35.000000,2.148493,P4L,2.092744,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,40.000000,2.087126,P3L,1.987877,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,45.000000,2.106640,P3L,2.007391,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,50.000000,2.198370,P3L,2.099121,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,55.000000,2.384409,P3L,2.285161,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,60.000000,2.628661,P3L,2.529412,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,65.000000,2.866509,P3L,2.767261,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,70.000000,3.035700,P3L,2.936451,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,75.000000,3.094927,P3L,2.995678,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,80.000000,3.031402,P3L,2.932154,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,85.000000,2.861404,P3L,2.762156,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,60.000000,90.000000,2.624168,P3L,2.524919,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,0.000000,2.398694,P4L,2.342945,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,5.000000,2.680876,P4L,2.625127,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,10.000000,2.880638,P4L,2.824889,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,15.000000,2.941395,P4L,2.885645,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,20.000000,2.840768,P4L,2.785019,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,25.000000,2.599307,P4L,2.543558,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,30.000000,2.282268,P4L,2.226519,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,35.000000,2.029739,P3L,1.932994,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,40.000000,1.942355,P3L,1.843106,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,45.000000,1.896314,P3L,1.797066,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,50.000000,1.999056,P3L,1.899808,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,55.000000,2.261365,P3L,2.162116,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,60.000000,2.608747,P3L,2.509498,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,65.000000,2.937262,P3L,2.838013,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,70.000000,3.160882,P3L,3.061633,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,75.000000,3.231128,P3L,3.131879,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,80.000000,3.140688,P3L,3.041440,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,85.000000,2.921433,P3L,2.822184,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,65.000000,90.000000,2.636267,P3L,2.537019,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,0.000000,2.421242,P4L,2.365492,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,5.000000,2.738762,P4L,2.683012,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,10.000000,2.971497,P4L,2.915748,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,15.000000,3.040246,P4L,2.984496,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,20.000000,2.906517,P4L,2.850768,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,25.000000,2.583395,P4L,2.527645,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,30.000000,2.143047,P4L,2.087297,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,35.000000,2.074671,P2L,1.978362,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,40.000000,1.981549,P2L,1.885239,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,45.000000,1.841255,P2L,1.744945,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,50.000000,1.795937,P1L,1.605833,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,55.000000,2.034965,P3L,1.935716,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,60.000000,2.505498,P3L,2.406250,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,65.000000,2.936918,P3L,2.837670,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,70.000000,3.219129,P3L,3.119880,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,75.000000,3.299340,P3L,3.200091,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,80.000000,3.177969,P3L,3.078721,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,85.000000,2.903995,P3L,2.804747,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,70.000000,90.000000,2.566301,P3L,2.467052,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,0.000000,2.374446,P4L,2.318697,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,5.000000,2.729906,P4L,2.674156,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,10.000000,2.998101,P4L,2.942352,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,15.000000,3.076872,P4L,3.021122,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,20.000000,2.910945,P4L,2.855196,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,25.000000,2.502700,P4L,2.446951,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,30.000000,2.270690,P2L,2.174380,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,35.000000,2.232963,P2L,2.136654,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,40.000000,2.118668,P2L,2.022358,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,45.000000,1.946759,P2L,1.850449,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,50.000000,1.965181,P1L,1.775077,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,55.000000,2.088541,P1L,1.898437,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,60.000000,2.320123,P3L,2.220874,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,65.000000,2.864998,P3L,2.765749,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,70.000000,3.209804,P3L,3.110556,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,75.000000,3.301146,P3L,3.201898,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,80.000000,3.148869,P3L,3.049620,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,85.000000,2.819138,P3L,2.719889,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,75.000000,90.000000,2.427332,P3L,2.328083,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,0.000000,2.267570,P4L,2.211820,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,5.000000,2.661830,P4L,2.606081,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,10.000000,2.964693,P4L,2.908944,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,15.000000,3.052500,P4L,2.996750,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,20.000000,2.854205,P4L,2.798456,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,25.000000,2.359402,P4L,2.303653,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,30.000000,2.358060,P2L,2.261750,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,35.000000,2.313905,P2L,2.217595,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,40.000000,2.177313,P2L,2.081004,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,45.000000,1.974067,P2L,1.877757,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,50.000000,2.048245,P1L,1.858141,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,55.000000,2.198351,P1L,2.008247,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,60.000000,2.238655,P1L,2.048551,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,65.000000,2.723687,P3L,2.624438,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,70.000000,3.134370,P3L,3.035121,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,75.000000,3.239882,P3L,3.140633,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,80.000000,3.060532,P3L,2.961283,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,85.000000,2.678324,P3L,2.579075,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,80.000000,90.000000,2.233597,P3L,2.134349,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,0.000000,2.111861,P4L,2.056111,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,5.000000,2.543106,P4L,2.487357,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,10.000000,2.875966,P4L,2.820217,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,15.000000,2.968503,P4L,2.912754,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,20.000000,2.736275,P4L,2.680526,P4L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,25.000000,2.290260,P2L,2.193951,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,30.000000,2.377301,P2L,2.280991,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,35.000000,2.327935,P2L,2.231625,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,40.000000,2.172003,P2L,2.075693,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,45.000000,1.941268,P2L,1.844958,P2L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,50.000000,2.063549,P1L,1.873445,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,55.000000,2.235352,P1L,2.045248,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,60.000000,2.285910,P1L,2.095806,P1L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,65.000000,2.517741,P3L,2.418492,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,70.000000,2.995919,P3L,2.896670,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,75.000000,3.119934,P3L,3.020685,P3L
37,fold0p6_neck1p6_stub2p6,B_ON_absorptive_50ohm_c0p08pf,B,8.000000,85.000000,80.000000,2.920791,P3L,2.821543,P3L
